State,Year,Source,Item,Voting_Equipment,Election_Auditing,Voter_Registration_Systems,Cyber_Security,Communications,Other_F,Other_G,Other_COVID,Totals,budget_period_start,budget_period_end,Other_F_description,Other_G_description
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,2. EQUIPMENT,0,800000,0,0,2360393,0,0,0,3160393,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,4. TRAINING,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,3000000,0,0,0,0,0,3000000,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,0,800000,3000000,0,2360393,0,0,0,6160393,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,8. Total Federal Budget,0,800000,3000000,0,2360393,0,0,0,6160393,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,11. NonFederal Match,308020,0,0,0,0,0,0,0,308020,3/22/2018,3/22/2023,,
AL,2018,https://www.eac.gov/sites/default/files/havadocuments/AL_Narrative_Budget.pdf,12. Total Program Budget,308020,800000,3000000,0,2360393,0,0,0,6468413,3/22/2018,3/22/2023,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,2. EQUIPMENT,3000000,0,0,0,0,0,0,0,3000000,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,4. TRAINING,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,3000000,0,0,0,0,0,0,0,3000000,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,8. Total Federal Budget,3000000,0,0,0,0,0,0,0,3000000,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,11. NonFederal Match,150000,0,0,0,0,0,0,0,150000,3/22/2018,3/22/2021,,
AK,2018,https://www.eac.gov/sites/default/files/havadocuments/AK_Narrative_Budget.pdf,12. Total Program Budget,3150000,0,0,0,0,0,0,0,3150000,3/22/2018,3/22/2021,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,2. EQUIPMENT,5395247,0,0,0,0,0,0,0,5395247,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,4. TRAINING,0,0,0,50000,0,0,0,0,50000,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,5. All OTHER COSTS,0,500000,0,4360536,0,0,0,0,4860536,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,5395247,500000,0,4410536,0,0,0,0,10305783,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,8. Total Federal Budget,5395247,500000,0,4410536,0,0,0,0,10305783,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,11. NonFederal Match,515290,0,0,0,0,0,0,0,515290,3/22/2018,3/22/2023,,
GA,2018,https://www.eac.gov/sites/default/files/havadocuments/GA_Narrative_Budget.pdf,12. Total Program Budget,5910537,500000,0,4410536,0,0,0,0,10821073,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,1. PERSONNEL (including fringe),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,2. EQUIPMENT,607080,0,75000,1200000,0,0,0,0,1882080,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,3. SUBGRANTS to local voting jurisdictions,0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,4. TRAINING,0,0,0,50000,0,0,0,0,50000,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,5. All OTHER COSTS,0,0,2000,0,0,1200000,0,0,1202000,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,6. TOTAL DIRECT COSTS,607080,0,77000,1250000,0,1200000,0,0,3134080,3/22/2018,3/22/2023,,
HI,2018,https://www.eac.gov/sites/default/files/havadocuments/HI_Program_Narrative_Budget.pdf,7. INDIRECT COSTS (if applied),0,0,0,0,0,0,0,0,0,3/22/2018,3/22/2023,,
